[2019-08-20 14:13:38.844162][debug]:  Reworked Height Index: 123, Value: 0
[2019-08-20 14:13:38.844230][debug]:  Reworked Height Index: 124, Value: 0
[2019-08-20 14:13:38.844302][debug]:  Reworked Height Index: 125, Value: 0
[2019-08-20 14:13:38.844370][debug]:  Reworked Height Index: 126, Value: 0
[2019-08-20 14:13:38.844439][debug]:  Reworked Height Index: 127, Value: 0
[2019-08-20 14:13:38.844507][debug]:  Reworked Height Index: 128, Value: 0
[2019-08-20 14:13:38.844578][debug]:  Reworked Height Index: 129, Value: 0
[2019-08-20 14:13:38.844648][debug]:  Reworked Height Index: 130, Value: 0
[2019-08-20 14:13:38.844717][debug]:  Reworked Height Index: 131, Value: 0
[2019-08-20 14:13:38.844785][debug]:  Reworked Height Index: 132, Value: 0
[2019-08-20 14:13:38.844854][debug]:  Reworked Height Index: 133, Value: 0
[2019-08-20 14:13:38.844922][debug]:  Reworked Height Index: 134, Value: 0
[2019-08-20 14:13:38.844990][debug]:  Reworked Height Index: 135, Value: 0
[2019-08-20 14:13:38.845060][debug]:  Reworked Height Index: 136, Value: 0
[2019-08-20 14:13:38.845129][debug]:  Reworked Height Index: 137, Value: 0
[2019-08-20 14:13:38.845197][debug]:  Reworked Height Index: 138, Value: 0
[2019-08-20 14:13:38.845265][debug]:  Reworked Height Index: 139, Value: 0
[2019-08-20 14:13:38.845334][debug]:  Reworked Height Index: 140, Value: 0
[2019-08-20 14:13:38.845402][debug]:  Reworked Height Index: 141, Value: 0
[2019-08-20 14:13:38.845471][debug]:  Reworked Height Index: 142, Value: 0
[2019-08-20 14:13:38.845540][debug]:  Reworked Height Index: 143, Value: 0
[2019-08-20 14:13:38.845608][debug]:  Reworked Height Index: 144, Value: 0
[2019-08-20 14:13:38.845677][debug]:  Reworked Height Index: 145, Value: 0
[2019-08-20 14:13:38.845745][debug]:  Reworked Height Index: 146, Value: 0
[2019-08-20 14:13:38.845814][debug]:  Reworked Height Index: 147, Value: 0
[2019-08-20 14:13:38.845882][debug]:  Reworked Height Index: 148, Value: 0
[2019-08-20 14:13:38.846006][debug]:  Reworked Height Index: 149, Value: 0
[2019-08-20 14:13:38.846101][debug]:  Reworked Height Index: 150, Value: 0
[2019-08-20 14:13:38.846181][debug]:  Reworked Height Index: 151, Value: 0
[2019-08-20 14:13:38.846261][debug]:  Reworked Height Index: 152, Value: 0
[2019-08-20 14:13:38.846346][debug]:  Reworked Height Index: 153, Value: 0
[2019-08-20 14:13:38.846438][debug]:  Reworked Height Index: 154, Value: 0
[2019-08-20 14:13:38.846530][debug]:  Reworked Height Index: 155, Value: 0
[2019-08-20 14:13:38.846668][debug]:  Reworked Height Index: 156, Value: 0
[2019-08-20 14:13:38.846755][debug]:  Reworked Height Index: 157, Value: 0
[2019-08-20 14:13:38.846824][debug]:  Reworked Height Index: 158, Value: 0
[2019-08-20 14:13:38.846942][debug]:  Reworked Height Index: 159, Value: 0
[2019-08-20 14:13:38.847012][debug]:  Reworked Height Index: 160, Value: 0
[2019-08-20 14:13:38.847102][debug]:  Reworked Height Index: 161, Value: 0
[2019-08-20 14:13:38.847174][debug]:  Reworked Height Index: 162, Value: 0
[2019-08-20 14:13:38.847243][debug]:  Reworked Height Index: 163, Value: 0
[2019-08-20 14:13:38.847312][debug]:  Reworked Height Index: 164, Value: 0
[2019-08-20 14:13:38.847381][debug]:  Reworked Height Index: 165, Value: 0
[2019-08-20 14:13:38.847449][debug]:  Reworked Height Index: 166, Value: 0
[2019-08-20 14:13:38.847518][debug]:  Reworked Height Index: 167, Value: 0
[2019-08-20 14:13:38.847586][debug]:  Reworked Height Index: 168, Value: 0
[2019-08-20 14:13:38.847655][debug]:  Reworked Height Index: 169, Value: 0
[2019-08-20 14:13:38.847723][debug]:  Reworked Height Index: 170, Value: 0
[2019-08-20 14:13:38.847792][debug]:  Reworked Height Index: 171, Value: 0
[2019-08-20 14:13:38.847861][debug]:  Reworked Height Index: 172, Value: 0
[2019-08-20 14:13:38.847930][debug]:  Reworked Height Index: 173, Value: 0
[2019-08-20 14:13:38.848030][debug]:  Reworked Height Index: 174, Value: 0
[2019-08-20 14:13:38.848119][debug]:  Reworked Height Index: 175, Value: 0
[2019-08-20 14:13:38.848211][debug]:  Reworked Height Index: 176, Value: 0
[2019-08-20 14:13:38.848282][debug]:  Reworked Height Index: 177, Value: 0
[2019-08-20 14:13:38.848351][debug]:  Reworked Height Index: 178, Value: 0
[2019-08-20 14:13:38.848419][debug]:  Reworked Height Index: 179, Value: 0
[2019-08-20 14:13:38.848488][debug]:  Reworked Height Index: 180, Value: 0
[2019-08-20 14:13:38.848556][debug]:  Reworked Height Index: 181, Value: 0
[2019-08-20 14:13:38.848624][debug]:  Reworked Height Index: 182, Value: 0
[2019-08-20 14:13:38.848696][debug]:  Reworked Height Index: 183, Value: 0
[2019-08-20 14:13:38.848768][debug]:  Reworked Height Index: 184, Value: 0
[2019-08-20 14:13:38.848836][debug]:  Reworked Height Index: 185, Value: 0
[2019-08-20 14:13:38.848904][debug]:  Reworked Height Index: 186, Value: 0
[2019-08-20 14:13:38.848972][debug]:  Reworked Height Index: 187, Value: 0
[2019-08-20 14:13:38.849041][debug]:  Reworked Height Index: 188, Value: 0
[2019-08-20 14:13:38.849109][debug]:  Reworked Height Index: 189, Value: 0
[2019-08-20 14:13:38.849178][debug]:  Reworked Height Index: 190, Value: 0
[2019-08-20 14:13:38.849246][debug]:  Reworked Height Index: 191, Value: 0
[2019-08-20 14:13:38.849315][debug]:  Reworked Height Index: 192, Value: 0
[2019-08-20 14:13:38.849386][debug]:  Reworked Height Index: 193, Value: 0
[2019-08-20 14:13:38.849455][debug]:  Reworked Height Index: 194, Value: 0
[2019-08-20 14:13:38.849523][debug]:  Reworked Height Index: 195, Value: 0
[2019-08-20 14:13:38.849592][debug]:  Reworked Height Index: 196, Value: 0
[2019-08-20 14:13:38.849660][debug]:  Reworked Height Index: 197, Value: 0
[2019-08-20 14:13:38.849728][debug]:  Reworked Height Index: 198, Value: 0
[2019-08-20 14:13:38.849796][debug]:  Reworked Height Index: 199, Value: 0
[2019-08-20 14:13:38.849865][debug]:  Reworked Height Index: 200, Value: 0
[2019-08-20 14:13:38.849933][debug]:  Reworked Height Index: 201, Value: 0
[2019-08-20 14:13:38.850001][debug]:  Reworked Height Index: 202, Value: 0
[2019-08-20 14:13:38.850070][debug]:  Reworked Height Index: 203, Value: 0
[2019-08-20 14:13:38.850138][debug]:  Reworked Height Index: 204, Value: 0
[2019-08-20 14:13:38.850206][debug]:  Reworked Height Index: 205, Value: 0
[2019-08-20 14:13:38.850275][debug]:  Reworked Height Index: 206, Value: 0
[2019-08-20 14:13:38.850343][debug]:  Reworked Height Index: 207, Value: 0
[2019-08-20 14:13:38.850411][debug]:  Reworked Height Index: 208, Value: 0
[2019-08-20 14:13:38.850480][debug]:  Reworked Height Index: 209, Value: 0
[2019-08-20 14:13:38.850548][debug]:  Reworked Height Index: 210, Value: 0
[2019-08-20 14:13:38.850616][debug]:  Reworked Height Index: 211, Value: 0
[2019-08-20 14:13:38.850685][debug]:  Reworked Height Index: 212, Value: 0
[2019-08-20 14:13:38.850753][debug]:  Reworked Height Index: 213, Value: 0
[2019-08-20 14:13:38.850821][debug]:  Reworked Height Index: 214, Value: 0
[2019-08-20 14:13:38.850889][debug]:  Reworked Height Index: 215, Value: 0
[2019-08-20 14:13:38.850958][debug]:  Reworked Height Index: 216, Value: 0
[2019-08-20 14:13:38.851026][debug]:  Reworked Height Index: 217, Value: 0
[2019-08-20 14:13:38.851095][debug]:  Reworked Height Index: 218, Value: 0
[2019-08-20 14:13:38.851163][debug]:  Reworked Height Index: 219, Value: 0
[2019-08-20 14:13:38.851231][debug]:  Reworked Height Index: 220, Value: 0
[2019-08-20 14:13:38.851299][debug]:  Reworked Height Index: 221, Value: 0
[2019-08-20 14:13:38.851368][debug]:  Reworked Height Index: 222, Value: 0
[2019-08-20 14:13:38.851436][debug]:  Reworked Height Index: 223, Value: 0
[2019-08-20 14:13:38.851504][debug]:  Reworked Height Index: 224, Value: 0
[2019-08-20 14:13:38.851573][debug]:  Reworked Height Index: 225, Value: 0
[2019-08-20 14:13:38.851641][debug]:  Reworked Height Index: 226, Value: 0
[2019-08-20 14:13:38.851710][debug]:  Reworked Height Index: 227, Value: 0
[2019-08-20 14:13:38.851780][debug]:  Reworked Height Index: 228, Value: 0
[2019-08-20 14:13:38.851848][debug]:  Reworked Height Index: 229, Value: 0
[2019-08-20 14:13:38.851917][debug]:  Reworked Height Index: 230, Value: 0
[2019-08-20 14:13:38.851985][debug]:  Reworked Height Index: 231, Value: 0
[2019-08-20 14:13:38.852053][debug]:  Reworked Height Index: 232, Value: 0
[2019-08-20 14:13:38.852121][debug]:  Reworked Height Index: 233, Value: 0
[2019-08-20 14:13:38.852190][debug]:  Reworked Height Index: 234, Value: 0
[2019-08-20 14:13:38.852258][debug]:  Reworked Height Index: 235, Value: 0
[2019-08-20 14:13:38.852326][debug]:  Reworked Height Index: 236, Value: 0
[2019-08-20 14:13:38.852394][debug]:  Reworked Height Index: 237, Value: 0
[2019-08-20 14:13:38.852465][debug]:  Reworked Height Index: 238, Value: 0
[2019-08-20 14:13:38.852535][debug]:  Reworked Height Index: 239, Value: 0
[2019-08-20 14:13:38.852603][debug]:  Reworked Height Index: 240, Value: 0
[2019-08-20 14:13:38.852671][debug]:  Reworked Height Index: 241, Value: 0
[2019-08-20 14:13:38.852739][debug]:  Reworked Height Index: 242, Value: 0
[2019-08-20 14:13:38.852808][debug]:  Reworked Height Index: 243, Value: 0
[2019-08-20 14:13:38.852876][debug]:  Reworked Height Index: 244, Value: 0
[2019-08-20 14:13:38.852945][debug]:  Reworked Height Index: 245, Value: 0
[2019-08-20 14:13:38.853013][debug]:  Reworked Height Index: 246, Value: 0
[2019-08-20 14:13:38.853122][debug]:  Reworked Height Index: 247, Value: 0
[2019-08-20 14:13:38.858880][debug]:  Reworked Height Index: 248, Value: 0
[2019-08-20 14:13:38.858967][debug]:  Reworked Height Index: 249, Value: 0
[2019-08-20 14:13:38.859037][debug]:  Reworked Height Index: 250, Value: 0
[2019-08-20 14:13:38.859106][debug]:  Reworked Height Index: 251, Value: 0
[2019-08-20 14:13:38.859200][debug]:  Reworked Height Index: 252, Value: 0
[2019-08-20 14:13:38.859274][debug]:  Reworked Height Index: 253, Value: 0
[2019-08-20 14:13:38.859344][debug]:  Reworked Height Index: 254, Value: 0
[2019-08-20 14:13:38.859414][debug]:  Reworked Height Index: 255, Value: 0
[2019-08-20 14:13:38.859485][debug]:  Reworked Height Index: 256, Value: 0
[2019-08-20 14:13:38.859561][debug]:  Reworked Height Index: 257, Value: 0
[2019-08-20 14:13:38.859661][debug]:  Reworked Height Index: 258, Value: 0
[2019-08-20 14:13:38.859733][debug]:  Reworked Height Index: 259, Value: 0
[2019-08-20 14:13:38.859801][debug]:  Reworked Height Index: 260, Value: 0
[2019-08-20 14:13:38.859870][debug]:  Reworked Height Index: 261, Value: 0
[2019-08-20 14:13:38.859943][debug]:  Reworked Height Index: 262, Value: 0
[2019-08-20 14:13:38.860013][debug]:  Reworked Height Index: 263, Value: 0
[2019-08-20 14:13:38.860081][debug]:  Reworked Height Index: 264, Value: 0
[2019-08-20 14:13:38.860152][debug]:  Reworked Height Index: 265, Value: 0
[2019-08-20 14:13:38.860221][debug]:  Reworked Height Index: 266, Value: 0
[2019-08-20 14:13:38.860289][debug]:  Reworked Height Index: 267, Value: 0
[2019-08-20 14:13:38.860358][debug]:  Reworked Height Index: 268, Value: 0
[2019-08-20 14:13:38.860426][debug]:  Reworked Height Index: 269, Value: 0
[2019-08-20 14:13:38.860495][debug]:  Reworked Height Index: 270, Value: 0
[2019-08-20 14:13:38.860564][debug]:  Reworked Height Index: 271, Value: 0
[2019-08-20 14:13:38.860632][debug]:  Reworked Height Index: 272, Value: 0
[2019-08-20 14:13:38.860700][debug]:  Reworked Height Index: 273, Value: 0
[2019-08-20 14:13:38.860769][debug]:  Reworked Height Index: 274, Value: 0
[2019-08-20 14:13:38.860838][debug]:  Reworked Height Index: 275, Value: 0
[2019-08-20 14:13:38.860906][debug]:  Reworked Height Index: 276, Value: 0
